怪物名称,出现赛季数,首次赛季,末次赛季,首次HP,末次HP,平均HP,斜率(HP/赛季),截距,R²,Pearson r,p值,RMSE,残差CV(%),每赛季增长率(%),总增长率(%),CAGR(%)
叛律孤歌·薇斯珀,3,69031,69037,229611112.0,309975001.0,267879630.66666666,13393981.5,-924372239240.3334,0.9932432439113147,0.9966158958752938,0.052388930225818996,2705992.7640950414,1.0101524917593367,4.999999987556601,34.9999999128962,16.189500348739006
「亵渎者」,9,69019,69038,99020956.0,155604360.0,126055249.33333333,3164638.3878504676,-218322603387.20874,0.9896884466128626,0.9948308633194468,3.253235538362775e-08,2227601.587727803,1.7671628904856314,2.5105169396651448,57.14285771993557,5.812464766735159
牲鬼·布林格,9,69001,69026,76362803.0,170693326.0,104661960.0,3745046.046837276,-258338885151.10324,0.982618583425915,0.9912711957007074,2.0285576108378697e-07,3561802.194955485,3.403148760978186,3.578230377911207,123.52941392159215,10.577517312606744
恶名·庞培,10,69005,69041,70074102.0,134757889.0,92062097.4,1721521.5199403034,-118721672187.86394,0.9805616914363336,0.9902331500390804,3.9345671489198735e-08,2661925.4566220413,2.8914455913993127,1.8699568753691065,92.30769307610963,7.536323423929048
恶名·冥宁芙,11,69001,69039,58049652.0,194466335.0,109766614.72727273,3627227.556661839,-250231916655.24167,0.9731988984332919,0.9865084380953171,2.2094483465309004e-08,7044417.662312386,6.417632246211673,3.3044906829586447,235.00000137813055,12.850758097206171
太初梦魇·「始主」,5,69027,69040,216746115.0,348908381.0,263267232.6,10410760.436823104,-718414429394.2599,0.9704253203658714,0.9851016802168164,0.002178045122613021,8555517.729903767,3.249746520070257,3.9544459574431303,60.97561010493775,12.639319988813625
秽息司祭,11,69013,69033,77665112.0,146193152.0,109478735.45454545,3586171.0366972475,-247414240512.8165,0.9506854786385394,0.9750310141931513,3.4683201642759716e-07,5023948.614260107,4.588972089786335,3.2756781687400767,88.23529411764706,6.529553239613284
恶名·死路屠夫,10,69003,69037,85970436.0,223881344.0,129358640.4,3934790.989144508,-271440865411.0789,0.9334167391525094,0.9661349487273796,5.523644775871302e-06,10530642.988134064,8.140656824755915,3.041768974208009,160.41666695746432,11.220647618263158
自律强袭单位·「提丰·破坏者型」,7,69002,69024,58889396.0,112657976.0,80982064.42857143,2145547.591083782,-147984483223.45813,0.9278445599907862,0.9632468842361908,0.0004876231241280645,4360042.123276698,5.383960206549665,2.6494108371072933,91.3043495980159,11.417687606333526
彷徨猎手,7,69023,69036,120421465.0,174523862.0,145104125.2857143,4232203.641666668,-291995448851.681,0.8973975880789616,0.9473107135881875,0.0011895688292989364,5925083.780254998,4.08333241290579,2.9166666580521636,44.9275359671135,6.379632273475377
未知复合侵蚀体,9,69003,69034,75669077.0,194023275.0,102077800.44444445,3455040.000235515,-238346740029.1429,0.8846889130616481,0.940579030736765,0.00015884224155274563,12771908.649573823,12.511935596148449,3.3847124303152585,156.41025725739988,12.490779004794096
秽息妖鬼·名可名,10,69016,69041,101800565.0,190465574.0,142520791.7,3325494.614249516,-229402737902.02563,0.8771133242398542,0.9365432847658205,6.567917106415864e-05,10195527.223869225,7.153712172277546,2.3333399811934363,87.09677495404864,7.208591188918878
魇缚者·叶释渊,8,69025,69040,161506628.0,197396989.0,181694956.125,2836465.465141033,-195630507406.2379,0.8535391175763232,0.9238718079778702,0.0010409843204448586,6366489.274260211,3.503943868359385,1.5611140373041728,22.22222174064584,2.908210182830828
「霸主侵蚀体·庞培」,5,69001,69015,58395085.0,83100698.0,73757484.2,1572175.3669871793,-108417662500.55768,0.8034475590362236,0.8963523632123906,0.03942785000893957,3884934.767716653,5.267173643263518,2.13154689864975,42.30769250528533,9.221237826424256
死路屠夫,3,69002,69009,59700536.0,65297461.0,65546213.333333336,670622.5405405402,-46210985737.51349,0.15542296730951866,0.3942371967606702,0.7420176836846537,4482649.547769236,6.838914591408744,1.0231293410194562,9.37499958124329,4.582503116555436
